run_date,total_fetched,fresh,dedup_skip,heuristic_evaluated,heuristic_passed,gemini_scored,top_n,duration_s,source_failures,partial_reason
2026-05-28,1544,706,838,706,456,12,7,1281.7,greenhouse;lever;ashby,time_budget_exceeded after 17/40 LLM scores (elapsed 1282s > budget 1200s)
2026-05-29,1571,707,864,707,454,15,7,1208.42,greenhouse;lever;ashby,time_budget_exceeded after 19/40 LLM scores (elapsed 1208s > budget 1200s)
2026-05-30,1573,681,892,681,433,21,7,1271.97,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1272s > budget 1200s)
2026-05-31,1575,638,937,638,440,21,7,1229.77,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1230s > budget 1200s)
2026-06-01,1579,638,941,638,396,5,7,1305.39,greenhouse;lever;ashby,time_budget_exceeded after 11/40 LLM scores (elapsed 1305s > budget 1200s)
2026-06-02,1577,638,939,638,398,18,7,1333.77,greenhouse;lever;ashby,time_budget_exceeded after 24/40 LLM scores (elapsed 1334s > budget 1200s)
2026-06-03,1580,658,922,658,410,19,5,1257.0,greenhouse;lever;ashby,time_budget_exceeded after 24/40 LLM scores (elapsed 1257s > budget 1200s)
2026-06-04,1586,656,930,656,418,23,2,1293.84,greenhouse;lever;ashby,time_budget_exceeded after 28/40 LLM scores (elapsed 1294s > budget 1200s)
2026-06-05,1592,686,906,686,433,16,4,1338.8,greenhouse;lever;ashby,time_budget_exceeded after 22/40 LLM scores (elapsed 1339s > budget 1200s)
2026-06-06,1617,668,949,668,427,22,3,1237.47,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1237s > budget 1200s)
2026-06-07,1619,625,994,625,418,11,6,1354.94,greenhouse;lever;ashby,time_budget_exceeded after 17/40 LLM scores (elapsed 1355s > budget 1200s)
2026-06-08,1618,633,985,633,415,4,7,1343.3,greenhouse;lever;ashby,time_budget_exceeded after 10/40 LLM scores (elapsed 1343s > budget 1200s)
2026-06-09,1618,641,977,641,414,18,4,1317.13,greenhouse;lever;ashby,time_budget_exceeded after 23/40 LLM scores (elapsed 1317s > budget 1200s)
2026-06-10,1613,636,977,636,401,3,7,1336.04,greenhouse;lever;ashby,time_budget_exceeded after 10/40 LLM scores (elapsed 1336s > budget 1200s)
2026-06-11,1613,639,974,639,398,18,2,1367.2,greenhouse;lever;ashby,time_budget_exceeded after 24/40 LLM scores (elapsed 1367s > budget 1200s)
2026-06-12,1634,659,975,659,401,18,4,1327.45,greenhouse;lever;ashby,time_budget_exceeded after 24/40 LLM scores (elapsed 1327s > budget 1200s)
2026-06-13,1633,628,1005,628,406,20,5,1225.48,greenhouse;lever;ashby,time_budget_exceeded after 24/40 LLM scores (elapsed 1225s > budget 1200s)
2026-06-14,1629,604,1025,604,397,21,5,1202.54,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1203s > budget 1200s)
2026-06-15,1632,619,1013,619,384,14,7,1340.97,greenhouse;lever;ashby,time_budget_exceeded after 19/40 LLM scores (elapsed 1341s > budget 1200s)
2026-06-16,1631,636,995,636,395,13,7,1360.77,greenhouse;lever;ashby,time_budget_exceeded after 19/40 LLM scores (elapsed 1361s > budget 1200s)
2026-06-17,1632,607,1025,607,383,18,6,1353.96,greenhouse;lever;ashby,time_budget_exceeded after 24/40 LLM scores (elapsed 1354s > budget 1200s)
2026-06-18,1638,623,1015,623,402,14,6,1281.35,greenhouse;lever;ashby,time_budget_exceeded after 19/40 LLM scores (elapsed 1281s > budget 1200s)
2026-06-19,1637,636,1001,636,425,22,6,1253.6,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1254s > budget 1200s)
2026-06-20,1636,639,997,639,407,21,7,1379.82,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1380s > budget 1200s)
2026-06-21,1635,602,1033,602,402,23,4,1305.52,greenhouse;lever;ashby,time_budget_exceeded after 28/40 LLM scores (elapsed 1306s > budget 1200s)
2026-06-22,1639,633,1006,633,393,20,2,1361.81,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1362s > budget 1200s)
2026-06-23,1631,650,981,650,390,5,7,1355.29,greenhouse;lever;ashby,time_budget_exceeded after 11/40 LLM scores (elapsed 1355s > budget 1200s)
2026-06-24,1637,694,943,694,442,2,7,1203.23,greenhouse;lever;ashby,time_budget_exceeded after 8/40 LLM scores (elapsed 1203s > budget 1200s)
2026-06-25,1627,657,970,657,411,10,7,1364.34,greenhouse;lever;ashby,time_budget_exceeded after 16/40 LLM scores (elapsed 1364s > budget 1200s)
2026-06-26,1633,683,950,683,430,23,7,1232.8,greenhouse;lever;ashby,time_budget_exceeded after 28/40 LLM scores (elapsed 1233s > budget 1200s)
2026-06-27,1636,697,939,697,432,22,4,1258.99,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1259s > budget 1200s)
2026-06-28,1637,639,998,639,419,23,2,1346.0,greenhouse;lever;ashby,time_budget_exceeded after 28/40 LLM scores (elapsed 1346s > budget 1200s)
2026-06-29,1638,624,1014,624,410,15,4,1367.37,greenhouse;lever;ashby,time_budget_exceeded after 21/40 LLM scores (elapsed 1367s > budget 1200s)
2026-06-30,1639,645,994,645,413,21,4,1232.64,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1233s > budget 1200s)
2026-07-01,1647,763,884,763,494,21,7,1219.75,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1220s > budget 1200s)
2026-07-02,1640,731,909,731,474,21,7,1209.45,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1209s > budget 1200s)
2026-07-03,1638,695,943,695,420,24,7,1265.34,greenhouse;lever;ashby,time_budget_exceeded after 29/40 LLM scores (elapsed 1265s > budget 1200s)
2026-07-04,1638,712,926,712,457,22,7,1279.05,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1279s > budget 1200s)
2026-07-05,1641,607,1034,607,390,23,7,1334.26,greenhouse;lever;ashby,time_budget_exceeded after 28/40 LLM scores (elapsed 1334s > budget 1200s)
2026-07-06,1642,624,1018,624,397,22,7,1281.87,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1282s > budget 1200s)
2026-07-07,1641,667,974,667,402,20,7,1367.18,greenhouse;lever;ashby,time_budget_exceeded after 26/40 LLM scores (elapsed 1367s > budget 1200s)
2026-07-08,1643,660,983,660,397,20,7,1221.2,greenhouse;lever;ashby,time_budget_exceeded after 25/40 LLM scores (elapsed 1221s > budget 1200s)
2026-07-09,1637,650,987,650,412,21,7,1242.09,greenhouse;lever;ashby,time_budget_exceeded after 25/40 LLM scores (elapsed 1242s > budget 1200s)
2026-07-10,1638,661,977,661,432,22,5,1244.87,greenhouse;lever;ashby,time_budget_exceeded after 27/40 LLM scores (elapsed 1245s > budget 1200s)
